Firefox Focus,"64,40%","75,49%","11,76%","41,32%","10,91%","103,32%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Firefox Focus,"4,38383838383838","1,47474747474747","1,65656565656566","0,252525252525252","24,4242424242424","10,0909090909091"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Firefox Nightly,"555,666666666667","1619,37037037037","147,75","652,814814814815","407,875","966,518518518519"
Lines of code metrics,Sex, 23 ago 2019 12:02:54 BRT,,,,,,,,,
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),,,,,
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,417,128,0,4338,609,17422,3546,9789,14314,3068,9546
MOOD metrics,Sex, 23 ago 2019 12:04:05 BRT
Project,AHF,AIF,CF,MHF,MIF,PF
project,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"

Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Firefox Nightly,0,0,0,0,0,0
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
FLOSS Browser,"525,4375","1322,40625","525,4375","1322,40625",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,33,0,8501,0,8428,66428,66052,0,16868,16712,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
FLOSS Browser,"91,53%","87,93%","18,32%","36,92%","0,62%","935,90%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
FLOSS Browser,"7,26923076923077","2,74358974358974","2,03846153846154","0,025641025641026","26,0897435897436","14,8717948717949"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
IceCatMobile,"1533,10358565737","7781,92363636364","1426,8764940239","7200,17090909091","106,227091633466","581,752727272727"
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,782,15907,382503,1500,26060,491065,358146,26663,352265,253635,24145
MOOD metrics,Sex, 23 ago 2019 10:26:04 BRT
