Navegadores,Classe,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote),L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média,AHF (%),AIF (%),CF (%),MHF (%),MIF (%),PF (%)
Tor-Browser,Privacidade,"18882,6363636364","19024,4545454545","18879,4545454545","19011,7272727273","3,18181818181818","12,7272727272727",98,0,520,0,273,212146,207674,35,842,666,24,1125,1625,1375,0,14375,"6,5","10,79",72,25,"41,67",0,100
UFO Web Browser,Segurança,"299,352941176471","1066,03529411765","289,717647058823","1022,87058823529","9,63529411764706","43,1647058823529",198,287,6329,12296,6985,72909,24626,819,22772,21226,741,"4,34285714285714","1,32352941176471","3,17142857142857","0,323529411764706","33,1666666666667","28,0857142857143","97,94",40,"37,33","52,22","1,46",100
Yuzu Browser,Privacidade,"329,688356164384","1355,52397260274","322,75","1318,04109589041","6,93835616438356","37,4828767123288",1226,1360,17961,50362,22545,100296,94414,2026,81913,77971,1225,"3,81147540983607","2,03688524590164","1,75409836065574","0,180327868852459","17,9262295081967","11,3852459016393","62,84","82,18","3,48","25,86","10,4","83,77"
Zirco,Tradicional,748,1874,748,1874,0,0,33,34,12459,0,4173,17584,17204,0,13381,13279,0,"5,72222222222222","2,26470588235294","1,84259259259259","0,058823529411765","23,2053571428571","14,9259259259259","79,74","64,19","10,93","50,64","2,09",606
Fennec F-Droid,Segurança,"671,699115044248","2216,8487394958","569,973451327434","1863,65546218487","101,725663716814","353,193277310924",233,132,38844,0,37271,83818,64407,11495,72211,58539,10750,"9,83617747440273","2,46206896551724","1,79180887372014","0,248275862068965","24,8427299703264","17,037542662116","62,25","79,69","6,53","48,48","19,14","74,94"
Waterfox,Privacidade,"1542,61832061069","7741,89198606272","1542,20610687023","7739,59233449477","0,412213740458015","2,29965156794425",1002,14603,403365,0,28655,514946,404058,108,369744,293254,95,"9,38470451911935","1,63097398669087","1,73406720741599","0,369026013309135","14,8529918739227","13,9339513325608","74,26","30,23","0,45","44,12","38,15","29,93"
IceCatMobile,Privacidade,"1533,10358565737","7781,92363636364","1426,8764940239","7200,17090909091","106,227091633466","581,752727272727",782,15907,382503,1500,26060,491065,358146,26663,352265,253635,24145,"9,32773631840796","1,64285714285714","1,73818407960199","0,364253393665158","14,5785846806255","13,9888059701493","74,03","29,79","0,47","43,52","39,78","27,67"
Firefox,Tradicional,"1694,57751937985","8446,77142857143","1589,95736434109","7870,50357142857","104,62015503876","576,267857142857",1222,17040,427060,9023,28881,562817,410209,26992,407885,294417,24513,"9,54184158970053","1,59894613583138","1,75426812202631","0,339285714285714","15,1839755639098","14,5465994962217","73,49","28,48","0,46","44,47","36,91","27,47"
Firefox Nightly,Segurança,"555,666666666667","1619,37037037037","147,75","652,814814814815",407875,"966,518518518519",417,128,0,4338,609,17422,3546,9789,14314,3068,9546,0,0,0,0,0,0,100,100,100,100,100,100
Ducky Browser,Segurança,"484,831168831169","1694,09036144578","376,077922077922","1100,49397590361","108,753246753247","593,596385542169",214,0,0,31939,10374,76184,57916,16748,64892,49787,14644,0,0,0,0,0,0,100,100,100,100,100,100
Ungoogled Chromium,Segurança,"1648,34446764092","8925,01919385797","1642,03340292276","8899,08829174664","6,31106471816284","25,9309021113244",25,20372,786321,0,29002,932827,786534,3023,664711,611749,2585,"9,84581908610507","1,45001562011871","2,23360273546783","0,354264292408622","17,0341085271318","14,3714640969848",83,"35,76","0,27","47,97","41,17","21,42"
